country_id,value
784,2920
32,9045
36,7991
76,4640
124,5601
152,4529
156,19590
276,2684
826,4485
360,4488
356,11350
398,5642
484,7189
578,2121
554,5337
604,5323
608,12272
643,9981
682,2526
840,14514
710,7564
392,1167
076,2613
