State,Date,Count
All solar : New England,Jun 2018,456
All solar : New England,Jul 2018,503
All solar : New England,Aug 2018,449
All solar : New England,Sep 2018,354
All solar : New England,Oct 2018,302
All solar : New England,Nov 2018,210
All solar : New England,Dec 2018,259
All solar : New England,Jan 2019,256
All solar : New England,Feb 2019,296
All solar : New England,Mar 2019,413
All solar : New England,Apr 2019,450
All solar : New England,May 2019,481
All solar : New England,Jun 2019,505
All solar : New England,Jul 2019,568
All solar : New England,Aug 2019,515
All solar : New England,Sep 2019,460
All solar : New England,Oct 2019,338
All solar : New England,Nov 2019,260
All solar : New England,Dec 2019,225
All solar : New England,Jan 2020,295
All solar : New England,Feb 2020,367
All solar : New England,Mar 2020,514
All solar : New England,Apr 2020,537
All solar : New England,May 2020,655
All solar : New England,Jun 2020,637
All solar : New England,Jul 2020,658
All solar : New England,Aug 2020,616
All solar : New England,Sep 2020,536
All solar : New England,Oct 2020,407
All solar : New England,Nov 2020,304
All solar : New England,Dec 2020,280
All solar : New England,Jan 2021,348
All solar : New England,Feb 2021,348
All solar : New England,Mar 2021,669
All solar : New England,Apr 2021,658
All solar : New England,May 2021,758
All solar : New England,Jun 2021,783
All solar : New England,Jul 2021,720
All solar : New England,Aug 2021,694
All solar : New England,Sep 2021,609
All solar : New England,Oct 2021,465
All solar : New England,Nov 2021,412
All solar : New England,Dec 2021,307
All solar : New England,Jan 2022,495
All solar : New England,Feb 2022,516
All solar : New England,Mar 2022,759
All solar : New England,Apr 2022,884
All solar : New England,May 2022,988
All solar : New England,Jun 2022,986
All solar : New England,Jul 2022,1073
All solar : New England,Aug 2022,985
All solar : New England,Sep 2022,833
All solar : New England,Oct 2022,671
All solar : New England,Nov 2022,509
All solar : New England,Dec 2022,440
All solar : New England,Jan 2023,518
All solar : New England,Feb 2023,626
All solar : New England,Mar 2023,865
All solar : New England,Apr 2023,958
All solar : New England,May 2023,1143
All solar : New England,Jun 2023,1062
All solar : New England,Jul 2023,1128
All solar : New England,Aug 2023,1093
CT,Jan 2014,7
CT,Feb 2014,8
CT,Mar 2014,11
CT,Apr 2014,12
CT,May 2014,13
CT,Jun 2014,14
CT,Jul 2014,15
CT,Aug 2014,15
CT,Sep 2014,14
CT,Oct 2014,12
CT,Nov 2014,9
CT,Dec 2014,10
CT,Jan 2015,10
CT,Feb 2015,11
CT,Mar 2015,16
CT,Apr 2015,19
CT,May 2015,21
CT,Jun 2015,21
CT,Jul 2015,25
CT,Aug 2015,24
CT,Sep 2015,22
CT,Oct 2015,18
CT,Nov 2015,14
CT,Dec 2015,14
CT,Jan 2016,17
CT,Feb 2016,20
CT,Mar 2016,28
CT,Apr 2016,31
CT,May 2016,34
CT,Jun 2016,36
CT,Jul 2016,39
CT,Aug 2016,38
CT,Sep 2016,33
CT,Oct 2016,27
CT,Nov 2016,21
CT,Dec 2016,21
CT,Jan 2017,21
CT,Feb 2017,27
CT,Mar 2017,37
CT,Apr 2017,42
CT,May 2017,45
CT,Jun 2017,48
CT,Jul 2017,52
CT,Aug 2017,49
CT,Sep 2017,42
CT,Oct 2017,34
CT,Nov 2017,25
CT,Dec 2017,23
CT,Jan 2018,29
CT,Feb 2018,33
CT,Mar 2018,51
CT,Apr 2018,56
CT,May 2018,63
CT,Jun 2018,63
CT,Jul 2018,68
CT,Aug 2018,61
CT,Sep 2018,49
CT,Oct 2018,43
CT,Nov 2018,32
CT,Dec 2018,57
CT,Jan 2019,39
CT,Feb 2019,46
CT,Mar 2019,63
CT,Apr 2019,69
CT,May 2019,75
CT,Jun 2019,78
CT,Jul 2019,87
CT,Aug 2019,80
CT,Sep 2019,71
CT,Oct 2019,52
CT,Nov 2019,41
CT,Dec 2019,37
CT,Jan 2020,49
CT,Feb 2020,60
CT,Mar 2020,83
CT,Apr 2020,86
CT,May 2020,106
CT,Jun 2020,104
CT,Jul 2020,108
CT,Aug 2020,99
CT,Sep 2020,88
CT,Oct 2020,67
CT,Nov 2020,52
CT,Dec 2020,47
CT,Jan 2021,59
CT,Feb 2021,58
CT,Mar 2021,107
CT,Apr 2021,106
CT,May 2021,125
CT,Jun 2021,128
CT,Jul 2021,119
CT,Aug 2021,112
CT,Sep 2021,103
CT,Oct 2021,81
CT,Nov 2021,72
CT,Dec 2021,58
CT,Jan 2022,68
CT,Feb 2022,86
CT,Mar 2022,127
CT,Apr 2022,146
CT,May 2022,161
CT,Jun 2022,161
CT,Jul 2022,172
CT,Aug 2022,156
CT,Sep 2022,132
CT,Oct 2022,109
CT,Nov 2022,81
CT,Dec 2022,71
CT,Jan 2023,77
CT,Feb 2023,102
CT,Mar 2023,142
CT,Apr 2023,154
CT,May 2023,203
CT,Jun 2023,173
CT,Jul 2023,180
CT,Aug 2023,172
ME,Jan 2014,1
ME,Feb 2014,1
ME,Mar 2014,1
ME,Apr 2014,1
ME,May 2014,1
ME,Jun 2014,1
ME,Jul 2014,1
ME,Aug 2014,1
ME,Sep 2014,1
ME,Oct 2014,1
ME,Nov 2014,1
ME,Dec 2014,1
ME,Jan 2015,1
ME,Feb 2015,1
ME,Mar 2015,1
ME,Apr 2015,2
ME,May 2015,2
ME,Jun 2015,2
ME,Jul 2015,2
ME,Aug 2015,2
ME,Sep 2015,2
ME,Oct 2015,2
ME,Nov 2015,1
ME,Dec 2015,1
ME,Jan 2016,2
ME,Feb 2016,2
ME,Mar 2016,2
ME,Apr 2016,3
ME,May 2016,3
ME,Jun 2016,3
ME,Jul 2016,3
ME,Aug 2016,3
ME,Sep 2016,3
ME,Oct 2016,2
ME,Nov 2016,2
ME,Dec 2016,2
ME,Jan 2017,2
ME,Feb 2017,3
ME,Mar 2017,4
ME,Apr 2017,4
ME,May 2017,5
ME,Jun 2017,5
ME,Jul 2017,5
