country,value
AE,2920.3934654
AR,9045.9261538
AU,7991.2847496
BR,4640.7709414
CA,7601.6017881
CL,44529.735843
CN,12590.1942659
DE,26843.505238
EU,39492.618054
GB,4485.2545447
ID,11488.3288492
IN,11350.0592821
KZ,10981.5582115
MX,7189.0884273
NO,2121.4386329
NZ,5337.1041988
PE,9323.7206889
PH,12272.5702371
RU,5642.5208159
SA,2526.0443567
US,11514.8788769
ZA,35649.967202
